content,score,sentiment,clean
maaf terimakasih,5,positif,maaf terimakasih
ok,5,positif,ok
"Tolong dioptimalkan dong, punya saya beberapa fitur termasuk di Tokopedia card stuck di menu awal mulai verifikasi terus padahal udah nyambungin ke gopay plus juga.... jadi gabisa ke step berikutnya buat ngajuin card nya.... berulang terus di menu itu.... mohon bantuannya.",1,negatif,tolong dioptimalkan dong punya saya beberapa fitur termasuk di tokopedia card stuck di menu awal mulai verifikasi terus padahal udah nyambungin ke gopay plus juga jadi gabisa ke step berikutnya buat ngajuin card nya berulang terus di menu itu mohon bantuannya
iklan Tokopedia sangat mengganggu aktivitas saat membaca,1,negatif,iklan tokopedia sangat mengganggu aktivitas saat membaca
"parah banyak seler yang tidak amanah alias nipu,nyesel sdh belanja online di sini",1,negatif,parah banyak seler yang tidak amanah alias nipunyesel sdh belanja online di sini
sangat berguna,5,positif,sangat berguna
"REFUND di persulit 😑, bisa di tarik minimal 50k & ke bank kena lagi biaya admin 2,900 🤮.",1,negatif,refund di persulit bisa di tarik minimal k ke bank kena lagi biaya admin 
sangat berguna,5,positif,sangat berguna
mantab,5,positif,mantab
"Lebih lancar buka game dr pada ini, ga paham sumpah wkwkwk",1,negatif,lebih lancar buka game dr pada ini ga paham sumpah wkwkwk
"mantap.,",5,positif,mantap
Tokopedia isi nya ternyata oknum penipuan scam link. JANGAN Download apa lagi percayakan pembelian online Tokopedia. DIJAMIN dATA PRIBADI Tersebar oleh penipuan scam.. komplotan ribuan karena keuntungan milyaran,1,negatif,tokopedia isi nya ternyata oknum penipuan scam link jangan download apa lagi percayakan pembelian online tokopedia dijamin data pribadi tersebar oleh penipuan scam komplotan ribuan karena keuntungan milyaran
ok,5,positif,ok
"giliran mau bayar cod gangguan mulu, tapi BCA lancar, auto uninstall, kapok w pake tokopedia",1,negatif,giliran mau bayar cod gangguan mulu tapi bca lancar auto uninstall kapok w pake tokopedia
sementara 3 bintang dulu.. karena tidak bisa diupdate..,3,netral,sementara bintang dulu karena tidak bisa diupdate
loading page nya kelamaan padahal sinyal sudah bagus,3,netral,loading page nya kelamaan padahal sinyal sudah bagus
mau co udaa dpet voucher gratis ongkir eh tiba tiba voucher tidak berlaku,1,negatif,mau co udaa dpet voucher gratis ongkir eh tiba tiba voucher tidak berlaku
sangat luar biasa,5,positif,sangat luar biasa
proses cepat,5,positif,proses cepat
mantul,5,positif,mantul
Kalau lagi scroll cari cari produk terus di lihat lalu dback lihat lagi di back lagi lama lama jadi refresh atau balik sendiri ke awal pencarian. Jadi kesel banget buang² waktu aja..😡😡,4,positif,kalau lagi scroll cari cari produk terus di lihat lalu dback lihat lagi di back lagi lama lama jadi refresh atau balik sendiri ke awal pencarian jadi kesel banget buang waktu aja
mengganggu,1,negatif,mengganggu
UI terkocak,1,negatif,ui terkocak
"ngapain di update kalau gak bisa dipake, malah muter2 verifikasi ke tiktok..",2,negatif,ngapain di update kalau gak bisa dipake malah muter verifikasi ke tiktok
Ok,5,positif,ok
yo edjos tak iyeh,5,positif,yo edjos tak iyeh
no more free shipping fee......is sucks man,1,negatif,no more free shipping feeis sucks man
barang yg datang sesuai dengan pesanan dan waktunya on time. semoga tidak pernah mengecewakan. dan Tokopedia backup pembeli terkait kualitas dan pesanan barang.,5,positif,barang yg datang sesuai dengan pesanan dan waktunya on time semoga tidak pernah mengecewakan dan tokopedia backup pembeli terkait kualitas dan pesanan barang
"isi kuota gagal, udah seminggu belom ada proses refund. padahal kalau diliat proses refund virtual account 1x24 jam. kocakkk",1,negatif,isi kuota gagal udah seminggu belom ada proses refund padahal kalau diliat proses refund virtual account x jam kocakkk
"aplikasi nya udah bagus dari semua segi, dan layanan juga puas bagi ku dan bisa membayar dengan banyak metode seperti bank ewallet dll",5,positif,aplikasi nya udah bagus dari semua segi dan layanan juga puas bagi ku dan bisa membayar dengan banyak metode seperti bank ewallet dll
sangat membantu,5,positif,sangat membantu
goog,5,positif,goog
"kita pesan barang bayar memang ,tapi barangnya gak sampe2 ,dan herannya ,barang yg saya pesan COD lrbih dulu sampe ,aplikasi gak jelas ini . . saya harap ada respon balik dari toko pedia ,terkait masalah ini ,jngan jadi pengecut . .",1,negatif,kita pesan barang bayar memang tapi barangnya gak sampe dan herannya barang yg saya pesan cod lrbih dulu sampe aplikasi gak jelas ini saya harap ada respon balik dari toko pedia terkait masalah ini jngan jadi pengecut 
sangat membantu dalam berniaga untuk semua orang,5,positif,sangat membantu dalam berniaga untuk semua orang
"Ga bisa ubah produk, di kategori gak bisa di isi, failed terus.",5,positif,ga bisa ubah produk di kategori gak bisa di isi failed terus
Tokopedia benar benar mantap,5,positif,tokopedia benar benar mantap
Gak ada pilihan terima barang mskipun barang udh sampai. Saya order dari hari rabu. Jumat barang dteng. Tapi ekspedisi gak update sma skli sampai minggu. Sya gak rugi apa2 tp klo gini ksian seller krna uangnya blm bs di alihkan pdahal brang udh di trima.,1,negatif,gak ada pilihan terima barang mskipun barang udh sampai saya order dari hari rabu jumat barang dteng tapi ekspedisi gak update sma skli sampai minggu sya gak rugi apa tp klo gini ksian seller krna uangnya blm bs di alihkan pdahal brang udh di trima
Tokopedia kami jadi kena iklan Tokopedia,1,negatif,tokopedia kami jadi kena iklan tokopedia
ok!,5,positif,ok
"Diskon pengguna baru tapi minimal transaksi 200.000,- Aplikasi gila dan termiskin. Unin",1,negatif,diskon pengguna baru tapi minimal transaksi aplikasi gila dan termiskin unin
APLIKASI SAMPAH!!! BUAT LOGIN PAKE AKUN GOOGLE SAJA TIDAK BISA. BERULANG KALI KIRIM KODE VERIFIKASI TIDAK ADA MASUK SAMA SEKALI,1,negatif,aplikasi sampah buat login pake akun google saja tidak bisa berulang kali kirim kode verifikasi tidak ada masuk sama sekali
Aplikasi sering error,1,negatif,aplikasi sering error
"top up dana, tapi proses nya lama bangat. hubungi cs di jawab ada pengembangan sistem, kok lama ya?",1,negatif,top up dana tapi proses nya lama bangat hubungi cs di jawab ada pengembangan sistem kok lama ya
"saya kasih bintang 0 karena pas tadi mau checkout ada promo 60% tiba tiba hilang promonya harganya kembali normal, padahal batas waktu promonya 10 jam lagi, jika tidak ingin memberi promo jangan memberi! tidak memberi kesan baik...",1,negatif,saya kasih bintang karena pas tadi mau checkout ada promo tiba tiba hilang promonya harganya kembali normal padahal batas waktu promonya jam lagi jika tidak ingin memberi promo jangan memberi tidak memberi kesan baik
Tidak bisa COD.,1,negatif,tidak bisa cod
Semenjak menggunakannya saat nyaman dan elegan bisa menikmati keindahan sekitar dan tidak bosan bosan untuk sekeliling kita . amiin..,5,positif,semenjak menggunakannya saat nyaman dan elegan bisa menikmati keindahan sekitar dan tidak bosan bosan untuk sekeliling kita amiin
gratis ongkir tapi boong mending si oren 👎,1,negatif,gratis ongkir tapi boong mending si oren 
mantap,4,positif,mantap
Marketplace paling ancur mau beli barang dari saldo tokped hasil refund gabisa,1,negatif,marketplace paling ancur mau beli barang dari saldo tokped hasil refund gabisa
mantap tokped,5,positif,mantap tokped
keren keren,5,positif,keren keren
"kagak jelas banget harga berubah kalo ga langsung checkout, meleng dikit harga naik kocak",3,netral,kagak jelas banget harga berubah kalo ga langsung checkout meleng dikit harga naik kocak
iklan sangat mengganggu,1,negatif,iklan sangat mengganggu
potongan penjual jangan terlalu mahal biar bisa tetap bertahan,5,positif,potongan penjual jangan terlalu mahal biar bisa tetap bertahan
sudah mulai bagus,5,positif,sudah mulai bagus
keren membantu kalau bisa banyakin promo sukses all,5,positif,keren membantu kalau bisa banyakin promo sukses all
"pembayaran gangguan jaringan gagal, voucher hilang, customer care tidak memberi solusi, bahasanya seperti mesin. walaupun sudah mengakui namanya Dewi tapi ya tidak ada perubahan inti kalimatnya sama saja. tidak membantu.",1,negatif,pembayaran gangguan jaringan gagal voucher hilang customer care tidak memberi solusi bahasanya seperti mesin walaupun sudah mengakui namanya dewi tapi ya tidak ada perubahan inti kalimatnya sama saja tidak membantu
ok,5,positif,ok
"apk nya lemot banget, lagi liat2 barang malah muncul layar putih terus, akhirnya lag, berulang ulang spt itu, trs jga suka gd koneksi internet, pdhl sinyal bagus.",1,negatif,apk nya lemot banget lagi liat barang malah muncul layar putih terus akhirnya lag berulang ulang spt itu trs jga suka gd koneksi internet pdhl sinyal bagus
semoga pengantaran tepat wakty,5,positif,semoga pengantaran tepat wakty
helo Hana punya hp Hana ini Hana mau jam hp anak adaa gak,5,positif,helo hana punya hp hana ini hana mau jam hp anak adaa gak
uang saya di tahan sama tokopedia. dan saat minta bantuan jawaban semuanya sama. gak ada yang ngasih kepastian kapan uangnya bisa kembali,1,negatif,uang saya di tahan sama tokopedia dan saat minta bantuan jawaban semuanya sama gak ada yang ngasih kepastian kapan uangnya bisa kembali
kalau menggunakan tablet sambsung 13 inch posisi tidak bisa di rotate ke landscape. coba di cek kembali.,4,positif,kalau menggunakan tablet sambsung inch posisi tidak bisa di rotate ke landscape coba di cek kembali
Kalo mau ngasih hadiah tuh kasih info yang lengkap dong jadinya saya merasa di tipu. Voucher 800k kirain beneran ternyata malah dibagi2 lagi jadi beberapa. Tau gitu ga bakal belanja. Mau dibatalkan ga bisa sama tokonya,2,negatif,kalo mau ngasih hadiah tuh kasih info yang lengkap dong jadinya saya merasa di tipu voucher k kirain beneran ternyata malah dibagi lagi jadi beberapa tau gitu ga bakal belanja mau dibatalkan ga bisa sama tokonya
barang barang berkualitas,5,positif,barang barang berkualitas
aplikasi apa ini lemot. pdhal pakai wifi. lelet. hp lo bagus signal bagus tp muter2 kek sampah.,1,negatif,aplikasi apa ini lemot pdhal pakai wifi lelet hp lo bagus signal bagus tp muter kek sampah
sekarang susah dibuka.,2,negatif,sekarang susah dibuka
oke bagus,4,positif,oke bagus
terpercaya,5,positif,terpercaya
"sudah ku update ber-kali² kok minta update lagi, apakah apps tokped disusupi Hantu, Virus, Scam, Phising, Malware, dll. pdhl sdh ku update lgsg dari apps nya & di playstore ber-kali²",1,negatif,sudah ku update berkali kok minta update lagi apakah apps tokped disusupi hantu virus scam phising malware dll pdhl sdh ku update lgsg dari apps nya di playstore berkali
"Hai saya. kemarin beli HP di Tokopedia, barangnya sudah terkirim tapi yang saya mohon untuk Tokopedia tidak menggunakan pengiriman via JNT karena kurirnya sangat pemalas jika ada pengiriman lain tolong usahakan pakai yg lain saja, Ninja ekspress maupun apapun yang penting bukan di jnt silahkan lihat rating jnt di papua selatan",1,negatif,hai saya kemarin beli hp di tokopedia barangnya sudah terkirim tapi yang saya mohon untuk tokopedia tidak menggunakan pengiriman via jnt karena kurirnya sangat pemalas jika ada pengiriman lain tolong usahakan pakai yg lain saja ninja ekspress maupun apapun yang penting bukan di jnt silahkan lihat rating jnt di papua selatan
ini aplikasi kenapa sih lelet banget mau ajukan komplain aja lamanya minta ampun loading puluhan menit engga selesai selesai.,4,positif,ini aplikasi kenapa sih lelet banget mau ajukan komplain aja lamanya minta ampun loading puluhan menit engga selesai selesai
top up e money nggak masuk🗿,1,negatif,top up e money nggak masuk
ok aman dan nyaman,5,positif,ok aman dan nyaman
"kembalikan benefit plus di akun saya, karena saya telah membayar 130.000 untuk biaya langganan itu.",1,negatif,kembalikan benefit plus di akun saya karena saya telah membayar untuk biaya langganan itu
terbaik,4,positif,terbaik
Bagus,5,positif,bagus
sangat puas goooood jooooooob,5,positif,sangat puas goooood jooooooob
ok,4,positif,ok
"Aplikasi olshop terburuk dalam memperlakukan pengguna baru. 3 bulan lalu saya daftar dan melakukan pembelian pertama, barangpun sampai, saya mau co lagi dan ternyata tiba-tiba voc gratong atau voc disc tidak bisa nempel. Saya chat cs dijawab suruh co tanpa voc, katanya ada pelanggaran di pesanan terakhir kali padahal hanya co biasa. Setelah berselang 3 bulan akhirnya bisa lagi, tapi setelah 1 hari tidak bisa lagi. Duh-duh beda dengan aplikasi sebelah, disini saya diperlakukan seperti sampah 👎🏻",1,negatif,aplikasi olshop terburuk dalam memperlakukan pengguna baru bulan lalu saya daftar dan melakukan pembelian pertama barangpun sampai saya mau co lagi dan ternyata tibatiba voc gratong atau voc disc tidak bisa nempel saya chat cs dijawab suruh co tanpa voc katanya ada pelanggaran di pesanan terakhir kali padahal hanya co biasa setelah berselang bulan akhirnya bisa lagi tapi setelah hari tidak bisa lagi duhduh beda dengan aplikasi sebelah disini saya diperlakukan seperti sampah 
menganggu,1,negatif,menganggu
sukses dan jaya selalu..👍,5,positif,sukses dan jaya selalu
"apk buriq di mana mana pasti iklanin apk ini, apk pengganggu",5,positif,apk buriq di mana mana pasti iklanin apk ini apk pengganggu
mantappp,5,positif,mantappp
Susah dipakai kalo android 5. Kenapa ya?,3,netral,susah dipakai kalo android kenapa ya
bagus,5,positif,bagus
ok,5,positif,ok
"LEMOT BANGET, MAHAL MAHAL LAGI, PERCUMA ADA TULISAN, GRATIS ONGKIR, TAPI TETEP BAYAR ONGKIR, ALAH APK GAK WORTIT SAMA SEKALI",1,negatif,lemot banget mahal mahal lagi percuma ada tulisan gratis ongkir tapi tetep bayar ongkir alah apk gak wortit sama sekali
Belanja di Tokopedia emang murah dan banyak diskon... proses cepat dan gak ribet 👍,5,positif,belanja di tokopedia emang murah dan banyak diskon proses cepat dan gak ribet 
sistemnya refund nya bikin tekor,1,negatif,sistemnya refund nya bikin tekor
"Apk gk jelas,Gopaylet,sama Gopinjam cuma pajngan doank 😅 tiba2 gk lolos,isi data aja belum..beda jauh sama yg dsebelah,gk mampu besaing ini apk,mana lemot bngat juga ini apk 👎👎👎",1,negatif,apk gk jelasgopayletsama gopinjam cuma pajngan doank tiba gk lolosisi data aja belumbeda jauh sama yg dsebelahgk mampu besaing ini apkmana lemot bngat juga ini apk 
pedia Keren 👍👍👍,5,positif,pedia keren 
"aplikasi sering error, klau sedang membuka pencarian tampilan sering terjadi error... jujur pencarian lebih mudah diaplikasi sebelah, klau seperti ini tidak menutup kemungkinan pelanggan setia toped bisa beralih ke aplikasi sebelah..",2,negatif,aplikasi sering error klau sedang membuka pencarian tampilan sering terjadi error jujur pencarian lebih mudah diaplikasi sebelah klau seperti ini tidak menutup kemungkinan pelanggan setia toped bisa beralih ke aplikasi sebelah
"aplikasi gak jelas, saya dirugikan 55.000 gara gara transaksi nya bermasalah dari sistem, customer service nya pun bener bener buruk, terus menanyakan Maslaah secara berulang ulang, padahal saya sudah jelasin, masih aja nanya pertanyaan yang sama.. makin buruk pelayanannya..!!!",1,negatif,aplikasi gak jelas saya dirugikan gara gara transaksi nya bermasalah dari sistem customer service nya pun bener bener buruk terus menanyakan maslaah secara berulang ulang padahal saya sudah jelasin masih aja nanya pertanyaan yang sama makin buruk pelayanannya
saya gak suka app ni karena lama dan selalu saja saat saya mau batalkan pesanan pasti gak bisa rate 4/10 mendingan shope,1,negatif,saya gak suka app ni karena lama dan selalu saja saat saya mau batalkan pesanan pasti gak bisa rate mendingan shope
toko pedia mendunia dan serba tersedia,5,positif,toko pedia mendunia dan serba tersedia
proses lambat,2,negatif,proses lambat
overall balanja disini aman semua sih,5,positif,overall balanja disini aman semua sih
mudah dan singkat,4,positif,mudah dan singkat
Pelayanan tokopedia bagus dan cepat,5,positif,pelayanan tokopedia bagus dan cepat
"APLIKASI SAMPAH!!!! BARU BELI PLUS LANGSUNG DIHENTIKAN!!! DUIT GW ILANG GITU DOANG!!!, "" HATI-HATI BAGI YANG LAIN KALAU MAU UPGRADE KE TOKOPEDIA PLUS"" GAK ADA GUNANYA TUH PLUS!!!!!",1,negatif,aplikasi sampah baru beli plus langsung dihentikan duit gw ilang gitu doang hatihati bagi yang lain kalau mau upgrade ke tokopedia plus gak ada gunanya tuh plus
ok,5,positif,ok
apk kurang diperbaiki sedikit lgi karena lemot bngtt,3,netral,apk kurang diperbaiki sedikit lgi karena lemot bngtt
"Cs tikped lemoooottttttttttttt, selalu berbelit belit trus aja majuin estimasi udh sampe 1bln padhal paket hilang lemoooooooooootttttttttt parah",1,negatif,cs tikped lemoooottttttttttttt selalu berbelit belit trus aja majuin estimasi udh sampe bln padhal paket hilang lemoooooooooootttttttttt parah
sangat bagus best recommended 😻,5,positif,sangat bagus best recommended 
"tolong Tokopedia pembelian secara tunai, ketika kurir tidak dikirim 2mnggu baru dikembalikan uangnya dan banyak kurir ya tidak dikirim barangnya alasannya orang tidak ada atau apa..pdhl tidak pernah terkirim",1,negatif,tolong tokopedia pembelian secara tunai ketika kurir tidak dikirim mnggu baru dikembalikan uangnya dan banyak kurir ya tidak dikirim barangnya alasannya orang tidak ada atau apapdhl tidak pernah terkirim
saya suka toko pedia,5,positif,saya suka toko pedia
cukup bagus,5,positif,cukup bagus
kpn bangkrutny nih,1,negatif,kpn bangkrutny nih
"mudah dipahami utk opsi2 penjual, produk dan rating penjualnya, produknya.. cancel pembelian dg tujuan yg positif, ganti cara pembayaran, ada barang yg lbh murah kualitas sama, pengaduan klaim ditanggapi dengan cepat, dan solutif..",5,positif,mudah dipahami utk opsi penjual produk dan rating penjualnya produknya cancel pembelian dg tujuan yg positif ganti cara pembayaran ada barang yg lbh murah kualitas sama pengaduan klaim ditanggapi dengan cepat dan solutif
"Aplikasi yg membuat pembayaran semua tagihan dan pembelian barang apa saja, semua tersedia di aplikasi ini recomended",5,positif,aplikasi yg membuat pembayaran semua tagihan dan pembelian barang apa saja semua tersedia di aplikasi ini recomended
"sekarqng ini sering muncul ada ganggauan dirumah toped,dan untuk pasang vaucer di aplikasi susah sekarang",5,positif,sekarqng ini sering muncul ada ganggauan dirumah topeddan untuk pasang vaucer di aplikasi susah sekarang
gratis ongkirnya ga muncul eek,1,negatif,gratis ongkirnya ga muncul eek
lumayan lengkap,4,positif,lumayan lengkap
udah bagus. sayang kok ada eror internal. tolong segera perbaiki,4,positif,udah bagus sayang kok ada eror internal tolong segera perbaiki
ini aplikasi apa sih katanya di kasih vocer pengguna baru tapi pas mau di co gk bisa di gunakan .,2,negatif,ini aplikasi apa sih katanya di kasih vocer pengguna baru tapi pas mau di co gk bisa di gunakan 
gratis ongkirnya mana woi,1,negatif,gratis ongkirnya mana woi
dana pengembalian komplain merugikan pembeli... gila potonganya ga ngotak,1,negatif,dana pengembalian komplain merugikan pembeli gila potonganya ga ngotak
tolong untuk toko yang diikuti urutkan sesuai abjad agar tidak kebingungam nyari nya sama langganan untuk plus jangan terlalu mahal,1,negatif,tolong untuk toko yang diikuti urutkan sesuai abjad agar tidak kebingungam nyari nya sama langganan untuk plus jangan terlalu mahal
Aplikasi ini sangat membantu dalam pengadaan barang yang dibutuhkan. layanan jaminan kualitas kesesuaian produk topedia care sangat membantu dalam proses komplain dan lainnya,5,positif,aplikasi ini sangat membantu dalam pengadaan barang yang dibutuhkan layanan jaminan kualitas kesesuaian produk topedia care sangat membantu dalam proses komplain dan lainnya
komplit barangnya,5,positif,komplit barangnya
promo gak bisa di pakai kacau balau,1,negatif,promo gak bisa di pakai kacau balau
"SANGAT DISAYANGKAN, JUAL BARANG SCAM DAN DISURUH KEMBALIKAN DANA MALAH BEKERJASAMA DENGAN PENJUAL DAN HARUS TUNGGU PERSETUJUAN DARI PENJUAL YANG MENAMPILKAN BARANG SCAM !!! SAYA PUNYA BUKTI SEMUA NYA !!!",1,negatif,sangat disayangkan jual barang scam dan disuruh kembalikan dana malah bekerjasama dengan penjual dan harus tunggu persetujuan dari penjual yang menampilkan barang scam saya punya bukti semua nya 
"saya pengguna tokped dr tahun 2016, sampai sekarang, dulu saya banggakan karena kemudahan akses, namun sekarang tokped selalu lambat bahkan request time out, banyak kendala....",1,negatif,saya pengguna tokped dr tahun sampai sekarang dulu saya banggakan karena kemudahan akses namun sekarang tokped selalu lambat bahkan request time out banyak kendala
"ngarti sameday gak sih. kenapa sameday pakai estimasi sampai 2hari kayak reguler. sedangkan ongkirnya 2x dari reguler / standart. mending SAMEDAY (HARI YANG SAMA) gak usah dipakai lagi. dan semakin diupdate apk, semakin berat .bug, error melulu. buka chat penjual gangguan,mau pilih pembayaran via apa error.dan barang kabanyakan gak sesuai deskripsi, retur berbelit,rumit, kadang ada toko tidak respons sampai habis batas waktu ""diproses"" beberapa hari dibatalkan sistem.",1,negatif,ngarti sameday gak sih kenapa sameday pakai estimasi sampai hari kayak reguler sedangkan ongkirnya x dari reguler standart mending sameday hari yang sama gak usah dipakai lagi dan semakin diupdate apk semakin berat bug error melulu buka chat penjual gangguanmau pilih pembayaran via apa errordan barang kabanyakan gak sesuai deskripsi retur berbelitrumit kadang ada toko tidak respons sampai habis batas waktu diproses beberapa hari dibatalkan sistem
bebas ongkir cuman gimick,1,negatif,bebas ongkir cuman gimick
"DASAR APLIKASI PENIPUAN!!!!!!!! PESANAN DIBATALKAN TAPI DUIT NGGA NYAMPE KE AKU!!!!!!! PAS MASUK LAGI TIBA2 AKUN AKU DI NON AKTIFKAN!!!!!!!! TERUS AKUN TOKPED AKU SEMPAT DI HACK, AKU UDAH KOMPLAIN TAPI GAK ADA JAWABAN APAPUN DARI PIHAK TOKOPEDIA!!!!!!!!!!!",1,negatif,dasar aplikasi penipuan pesanan dibatalkan tapi duit ngga nyampe ke aku pas masuk lagi tiba akun aku di non aktifkan terus akun tokped aku sempat di hack aku udah komplain tapi gak ada jawaban apapun dari pihak tokopedia
dikon dibatalkan sistem,1,negatif,dikon dibatalkan sistem
sekarang aplikasinya nyampah diberanda iklan terus menerus,2,negatif,sekarang aplikasinya nyampah diberanda iklan terus menerus
Keren banget,5,positif,keren banget
"banyak bug, beberapa produk harus menggunakan versi web/desktop untuk melihat padahal sudah cukup umur dan tidak mengaktifkan ""safemode"" jadi tidak nyaman dan ribet!",1,negatif,banyak bug beberapa produk harus menggunakan versi webdesktop untuk melihat padahal sudah cukup umur dan tidak mengaktifkan safemode jadi tidak nyaman dan ribet
tolong ekspedisi bermasalah dihapuskan dari tokped,3,netral,tolong ekspedisi bermasalah dihapuskan dari tokped
pls aplikasi nya buat nipu orang,1,negatif,pls aplikasi nya buat nipu orang
Hallo ka aku mau kasih ulasan tolong ringan in MB aplikasi nya ka jadi hp hp androit yg ram ram nya kecil bisa instal juga ka dan bisa pake aplikasi tokopedia juga kaaa sekian ulasan dari aku makasihh kaa☺😊👉👈,3,netral,hallo ka aku mau kasih ulasan tolong ringan in mb aplikasi nya ka jadi hp hp androit yg ram ram nya kecil bisa instal juga ka dan bisa pake aplikasi tokopedia juga kaaa sekian ulasan dari aku makasihh kaa
"untuk dana tunai 12 x besar bgt bunga nya, ala mak, mohon di pertimbangkan agak bunga gak terlalu besar pinjem 5 jt hampir 7,4 jt sekian gede bgt bunga nya hampir 50% ya ampun ayo lah jgn terlalu besar parah bgt bunga nya",4,positif,untuk dana tunai x besar bgt bunga nya ala mak mohon di pertimbangkan agak bunga gak terlalu besar pinjem jt hampir jt sekian gede bgt bunga nya hampir ya ampun ayo lah jgn terlalu besar parah bgt bunga nya
"Kecewa banget. Voucher gue tiba-tiba hilang tanpa penjelasan yang jelas. CS cuma kasih jawaban template soal S&K tanpa jelasin gue salah di mana. Padahal gue bayar Plus. Harusnya ada transparansi dan solusi, bukan cuma balasan normatif.",1,negatif,kecewa banget voucher gue tibatiba hilang tanpa penjelasan yang jelas cs cuma kasih jawaban template soal sk tanpa jelasin gue salah di mana padahal gue bayar plus harusnya ada transparansi dan solusi bukan cuma balasan normatif
"saldo refund lama di balikin kocak padahal saldo kita sendiri,duit kita sendiri",1,negatif,saldo refund lama di balikin kocak padahal saldo kita sendiriduit kita sendiri
tolong hilangkan validasi pencarian minimal 3 karakter. itu sangat menggangu.,2,negatif,tolong hilangkan validasi pencarian minimal karakter itu sangat menggangu
bagus sekali. tapi sekarang kurang stabil apk nya untuk diskon dan acara atau event . mohon untuk di akumulasi dari pembelian sebelumnya. biar dapat diskon ataupun hadiah. kaya kejar ketupat bagi saya percuma nihil dapat hadiah. toh dari awal lagi . cape jujur kalo aplikasi nyari rating untuk sendiri. member mah cuma dibutuhkan adalah hadiah dari pembelian kita sebelumnya. terimakasih,5,positif,bagus sekali tapi sekarang kurang stabil apk nya untuk diskon dan acara atau event mohon untuk di akumulasi dari pembelian sebelumnya biar dapat diskon ataupun hadiah kaya kejar ketupat bagi saya percuma nihil dapat hadiah toh dari awal lagi cape jujur kalo aplikasi nyari rating untuk sendiri member mah cuma dibutuhkan adalah hadiah dari pembelian kita sebelumnya terimakasih
"Fiturnya makin berkurang, serta aga sedikit lemot apk nya, overall belanja ttp di Tokopedia",4,positif,fiturnya makin berkurang serta aga sedikit lemot apk nya overall belanja ttp di tokopedia
"Aplikasi tidak jelas,,, beli Tokopedia plus udah bayar abis itu langsung diberhentikan karena pakai voucher katanya,, kalau tidak boleh pakai voucher nagapin dikasih voucher,, tujuan bikin aplikasi Tokopedia sebenarnya buat apaan kalau tidak boleh pakai voucher,,, abis itu mau chek out ke detek,, setelah itu voucher plus nya langsung hilang,,, ngga jelas bgt!!!",1,negatif,aplikasi tidak jelas beli tokopedia plus udah bayar abis itu langsung diberhentikan karena pakai voucher katanya kalau tidak boleh pakai voucher nagapin dikasih voucher tujuan bikin aplikasi tokopedia sebenarnya buat apaan kalau tidak boleh pakai voucher abis itu mau chek out ke detek setelah itu voucher plus nya langsung hilang ngga jelas bgt
oke banget,5,positif,oke banget
ok,5,positif,ok
sangat memuaskan,5,positif,sangat memuaskan
banyak nge bug nya,4,positif,banyak nge bug nya
gjgn coba voba dounloud apl. sekali salah beli maka pegajuan pengemabalianmj t kan pernah di acc,1,negatif,gjgn coba voba dounloud apl sekali salah beli maka pegajuan pengemabalianmj t kan pernah di acc
"cuman bisa kasih dua bintang orang"" Sulawesi,Papua pasti ngerasain mahalan ongkir daripada barang.",2,negatif,cuman bisa kasih dua bintang orang sulawesipapua pasti ngerasain mahalan ongkir daripada barang
aplikasi bosok.. kebnyakan bug,1,negatif,aplikasi bosok kebnyakan bug
"gua pke tokopedia dri 2020, dlu tiap belanja gratis ongkir trs, skrng makin prah gk ada gratis ongkir lgi",1,negatif,gua pke tokopedia dri dlu tiap belanja gratis ongkir trs skrng makin prah gk ada gratis ongkir lgi
sangat mendukung,5,positif,sangat mendukung
"bug aplikasi,, masih di proses perbaikan akun saya",1,negatif,bug aplikasi masih di proses perbaikan akun saya
"Dear team Tokopedia yth, Dengan berat hati saya memutuskan untuk memberikan nilai ini juga pengapusan aplikasi (uninstall) dari perangkat dikarenakan tidak puas nya dengan notif ""palsu"" status pengiriman atau bisa dibilang ""fake marketing"" yang seolah saya memesan sesuatu dan ketika di klik hanya informasi produk yang saya pun bahkan tak pernah meminatinya. Saya yakin Tokopedia punya crew profesional dalam menawarkan produk bukan sekedar trik marketing ""menipu"". Terimakasih Regards",2,negatif,dear team tokopedia yth dengan berat hati saya memutuskan untuk memberikan nilai ini juga pengapusan aplikasi uninstall dari perangkat dikarenakan tidak puas nya dengan notif palsu status pengiriman atau bisa dibilang fake marketing yang seolah saya memesan sesuatu dan ketika di klik hanya informasi produk yang saya pun bahkan tak pernah meminatinya saya yakin tokopedia punya crew profesional dalam menawarkan produk bukan sekedar trik marketing menipu terimakasih regards
smoga tetap amanah,5,positif,smoga tetap amanah
"pengembalian paket udah diterima seller sejak 16 Februari 2026 tapi uang belum dikembalikan malah disuruh nunggu paling lambat 27 februari 2026...sangat merugikan buyer dan tidak adil...gak akan lagi belanja di Tokopedia,,, pembelian pertama saja sudah sangat merugikan saya",1,negatif,pengembalian paket udah diterima seller sejak februari tapi uang belum dikembalikan malah disuruh nunggu paling lambat februari sangat merugikan buyer dan tidak adilgak akan lagi belanja di tokopedia pembelian pertama saja sudah sangat merugikan saya
baguss,5,positif,baguss
tiba3 iklan muncul di hp,3,netral,tiba iklan muncul di hp
semoga makin bnyak promo y kk karena sangat membantu sekali😊😊,5,positif,semoga makin bnyak promo y kk karena sangat membantu sekali
sangat simpel dan mantap,5,positif,sangat simpel dan mantap
